flow_kg_per_s,avg_net_mw,min_net_mw,redrills,lcoe_cents_per_kwh,irr_pct,npv_musd
80,417.13,404.96,1,10.56,23.05,272.37
81,421.81,409.39,1,10.51,23.25,282.22
82,426.47,413.88,1,10.46,23.44,291.86
83,431.11,418.45,1,10.42,23.63,301.47
84,435.74,423.09,1,10.37,23.82,311.07
85,440.35,427.8,1,10.33,24,320.65
86,444.94,432.58,1,10.29,24.17,330.07
87,449.47,436.18,1,10.25,24.34,339.46
88,454.01,441.1,1,10.21,24.51,348.78
89,458.53,446.08,1,10.17,24.67,358.09
90,462.97,449.84,1,10.14,24.83,367.26
91,467.39,454.95,1,10.1,24.98,376.43
92,471.72,458.8,1,10.06,25.14,385.44
93,476,464.03,2,10.9,22.18,255.54
94,480.31,467.99,2,10.86,22.36,264.45
95,484.62,471.98,2,10.82,22.53,273.31
96,488.93,476.01,2,10.78,22.7,282.07
97,493.3,481.48,2,10.75,22.87,290.9
98,497.18,485.2,2,10.72,23,298.21
99,500.3,488.22,2,10.7,23.07,303.13
100,503.39,491.25,2,10.68,23.14,307.98
101,506.43,494.3,2,10.66,23.21,312.62
102,509.43,497.36,2,10.65,23.28,317.12
103,512.39,500.42,2,10.63,23.34,321.49
104,515.3,503.5,2,10.62,23.39,325.66
105,518.09,505.08,2,10.61,23.44,329.59
106,520.92,508.18,2,10.59,23.49,333.55
107,523.7,511.28,2,10.58,23.54,337.31
108,526.43,514.39,2,10.57,23.58,340.9
109,529.04,515.94,2,10.56,23.61,344.23
110,531.68,519.07,2,10.55,23.65,347.59
111,534.27,522.19,2,10.55,23.68,350.7
112,536.74,523.72,2,10.54,23.7,353.53
113,539.24,526.86,2,10.53,23.73,356.37
114,541.6,528.36,2,10.53,23.74,358.92
115,544.01,531.5,2,10.52,23.76,361.45
116,546.28,532.97,2,10.52,23.77,363.71
117,548.59,536.12,2,10.51,23.78,365.85
118,550.77,537.57,2,10.51,23.79,367.8
119,552.98,540.71,2,10.51,23.79,369.77
120,555.05,542.15,2,10.51,23.79,371.31
121,557.08,543.54,2,10.51,23.79,372.72
122,559.14,546.68,2,10.51,23.78,374.16
123,561.06,548.07,2,10.51,23.77,375.24
124,562.92,549.42,2,10.51,23.76,376.19
125,564.8,552.53,2,10.51,23.74,377.14
126,566.54,553.88,2,10.51,23.73,377.77
127,568.21,555.19,2,10.52,23.7,378.17
128,569.79,556.47,2,10.52,23.68,378.46
129,571.33,559.54,3,11.25,20.9,239.92
130,572.84,560.81,3,11.26,20.88,239.78
